union_name,union_category,tag,union_introduction
CCC,종교,"기독교, 채플, 선교, 수련회","안녕하세요! 저희는 성균관대 중앙 기독교 동아리 💚CCC💚입니다! CCC는 Campus Crusade for Christ로 “Movements Everywhere”라는 비전을 갖고 함께 모여 예배를 드리며 캠퍼스 생활을 즐기는 중앙 기독교 동아리입니다. 수원지구 CCC는 12개의 수원에 있는 대학교가 소속이 되어 있습니다!🏫"
시선,사진,"사진, 출사, 부스, 사진전, 스터디, 번개","✅출사🚌
매주 토요일🤩
사진 찍기 좋은 공원, 고궁 등으로 떠나는 출사🛤️
카메라가 없어도 폰카🤳로 찍거나 공용 카메라 대여 가능!!
✅사진 부스와 사진전
소중한 추억을 찍어 인화해드리는 사진부스📹 그리고 시선 부원들의 멋진 사진을 볼 수 있는 사진전🌆🌅🌉
✅스터디📚
매주 목요일 오프라인으로 사진 기초 부터 카메라 구매, 구도, 보정, 음식, 인물까지 다양한 주제로 진행되는 스터디✏️"
엥크레,엔터테인먼트,"미디어, K-POP, 콘텐츠, 아이돌, 방송, 연예, 마케팅, SNS","안녕하세요 :D 엔터테인먼트/미디어/콘텐츠/연예/방송/마케팅 분야 전국 최대❗최고❗ 최강❗ 대학연합팀 ‘EN;CRE’에서 신입 크루를 모집합니다👏👏👏

‘엥크레’ 는 66개 대학 108개 전공, 200여 명 이상의 대학생들로 구성되어 있습니다.😊 이렇게 많은 크루들이 셀럽/미디어/디렉팅(A&R) 등 엥크레 산하의 12개 팀을 이루어 👏매 주👏 체계적인 실제 🎈컨텐츠 기획/제작/미디어 채널 운영/데이터 분석/트렌드 분석/편집/브랜딩 등🎈을 진행하며, 졸업과 동시에 ⭐️엔터테인먼트 산업으로 가는 최고의 포트폴리오와 스펙⭐️을 발급받는 전국 최대규모의 엔터테인먼트 동아리 프로그램입니다. :)"
스누퍼,탐정,"추리, 방탈출, 스누핑, 보드게임","지금 만나는 사람의 속마음을 알고 싶나요?
저 사람이 어떤 사람인지 궁금한가요?
여러분은 과연 여러분 스스로에 대해 얼마나 알고 있나요?

타인의 마음을 읽는 독심술사
사람의 감정과 생각을 조종하는 멘탈리스트
사소한 흔적과 단서만으로 모든 진실을 알아내는 셜록 홈즈같은 명탐정.

이것은 결코 영화나 소설 속에만 등장하는 이야기가 아닙니다.

지금까지 저희 스누퍼에 너무 좋은 분들이 많이 지원해주셔서 즐겁게 활동할 수 있었습니다.
(다들 지능이 높으시고 지적탐구심과 호기심이 대단하십니다. ㄷㄷ)
앞으로 더 많은 분들과 관찰과 추리를 배우고 서로 능력을 향상시키고자 3기 회원을 모집하려 합니다. 한국의 셜록 홈즈들의 많은 신청 바랍니다."
소감동,친목,"감사, 온라인, 소모임","행복한 일 하나 없는 것 같은 일상에서도
어떻게든 행복한 순간을 찾아내
하루하루를 씩씩하게 버텨내기 위한 감사 모임입니다!

메일밤 잠들기 전
’하루에 딱 하나씩‘만
감사한 일을 공유하면 끝!
ex) 점심으로 먹은 김치찌개가 너무 맛있었어요😋
오랜만에 고등학교 친구와 만나서 신나게 수다를 떠니 옛날로 돌아간 느낌이 들고 행복했어요🙂"
ESF,종교,"기독교, 친목","저희 ESF는 '대학교 기독교 동아리'로 학원복음화협회에 속해있는 건전한 동아리입니다😚
(신천지나 하나님의 교회같은 이단과는 아무런 상관없는 건전한 동아리입니다🙏)

소수의 사람들과 친밀한 관계를 가지고 함께하는 공동체를 찾으시는 분들은 ESF로 오세요!!저희는 15~20명 정도의 대학생들이 함께 모여 공동체를 이루고 있습니다:)
하나님에 대해서 더 알고 싶고, 성경에 대해서 배우고 싶으신 분들 또는 교회에 대해서 잘 모르거나 혼자서 신앙생활 하기 어렵다고 느끼는 분들 모두모두 환영이에요🫶"
향실,향수,"향수, 견학, 스터디","안녕하세요, 성균관대학고 향수동아리 향실입니다. 향실 1기를 같이 이끌어갈 신규 부원들을 모집합니다!

향실(香室)은 조선시대 교서관(校書館) 소속의 제향에 쓰일 향을 보관, 관리하는 직소를 뜻합니다. 향실은 성균관대학교 유생으로서의 특징을 살려 향수에 대해 공부하고 탐구하기 위해 만들어진 동아리입니다."
퍼펙트 크리스탈,스포츠,"축구, 풋살","⚽신소재공학부 축구동아리 퍼펙트 크리스탈의 신입부원을 모집합니다⚽

✔신소재공학부 축구동아리 퍼펙트 크리스탈은 즐겁게 축구하고 싶은 성균관대생들의 모임입니다.
✔ 축구의 재미를 아시는 분이라면 학년 학과 실력 무관하게 환영입니다!"
성균무도회,스포츠,"태권도, 동방, 체육대회, 자과캠","-선배들과의 교류가 많고 화기애애한 분위기 입니다🫶🏻
-성비는 남녀 2:1 입니다
-도복 추후에 구매 가능합니다 (도복 없이도 운동 가능합니다)
-다같이 동방에 모여 학교 부근 도장으로 이동하여 운동합니다✨
-인사캠 태권도부 및 타대학과의 교류전 등 다양한 활동이 많습니다!
"
명륜당,스포츠,"당구, 명륜캠","명륜당구회 명륜당에서 회원을 모집합니다.

그동안 당구를 좋아하고 치고싶지만 명륜에는 당구 동아리도 없고, 마땅히 칠 사람도 없어 고민이셨던 분들은 부담없이 지원해주세요.

화요일에 진행되는 주 1회의 정기모임과 상시로 진행되는 번개모임을 통해 당구칠 사람이 없어 치지 못하는 걱정은 하지 않으셔도 될 겁니다!

또한 당구를 잘 치지 못하고 처음 처보시는 분들도 부담 없이 지원해주세요.
비슷한 실력의 사람들과 함께 연습하고 경기하는 경험을 통해 배워나갈 수 있습니다!"
