union_name,union_category,tag,union_introduction
크림스튜디오,영상,"영상, 콘텐츠, 편집","글융 영상학회 크림스튜디오 1기를 모집합니다!💘
저희는 어떻게 하면 활성화된 콘텐츠 시장에서 경쟁력을 갖춘 콘텐츠를 만들 수 있을 지에 대해 논의하고, 직접 기획/제작하고자 하는 영상 학회입니다.
즉흥적으로 영상을 만드는 것이 아니라 체계적으로 충분히 기획하고 실행하면서 콘텐츠 제작에 대한 감을 익히는 것을 목표로 하고 있습니다.
그렇게 제작한 영상들은 가장 기본적인 영상 플랫폼인 유튜브에 숏폼 ~ 미드폼 형식으로 업로드 될 예정입니다.

[활동 내용]
1. 성공한 콘텐츠에 대한 분석 → 본격적인 기획과 제작에 앞서, 성공한 콘텐츠 사례들을 비교, 분석하며 앞으로 기획/제작할 콘텐츠의 방향성을 찾고자 합니다.
2. 영상 기획/제작
3. 영상 편집 스터디 → 추가적으로 개인적으로 원하는 영상을 찍고 편집하여 서로 피드백을 해주며 편집 프로그램을 익히는 시간을 가지고자 합니다.
4. 번개 콘텐츠 촬영 및 친목 모임"
TOT,여행,"여행, 번개, 친목","대학생 연합 여행동아리 TOT에서 22기 멤버를 모집합니다!

#여행 #친구 #꿀잼 #번개 #테마 #정기여행

여행을 좋아하고 여행에 대한 열정이 많다면!
새로운 사람들을 만나 추억을 쌓고 싶다면!
♥누구나 환영합니다!♥

1) [활동안내]
*분기별 3회 이상의 정기여행 및 정기행사
*누구나 기획 가능한 테마여행
*발대식
*총 MT
*각종번개모임"
버버코,자기개발,"버킷리스트, 친목, 번개","🔥버킷리스트 연합동아리 버버코에서 21기 버피를 모집합니다🔥
🙋 버킷리스트 기획 동아리 버버코에서 21기 버피를 추가모집합니다!!
🙋 각자 마음속에 품고 있는 문화생활 버킷리스트를 공유하고 함께 기획하며 활동하는 ""버킷리스트 기획 동아리""입니다 !

🔎 “버버코”란 ?
“버라이어티 버킷리스트 코뮤니티”의 약자로 수도권 대학생 기반의 문화생활 버킷리스트 기획동아리입니다.

버버코의 전 기수 활동내용이 궁금하시다면 버버코 인스타그램 게시물을 찾아주세요👏👏

🖤 활동 내용 및 상세 내용
- 각자 마음속에 품고 있는 문화생활 버킷리스트를 지원서 작성 시 제출합니다. 합격자 발표 후 스탭이 이를 카테고리별로 정리하여 한 기수의 버킷활동을 구성합니다. 한 기수의 활동은 버피와 스탭이 함께 만들어 나갑니다 !
- 시험기간을 제외한 매주 토요일 버킷이 열리게 되며 이외에도 누구나 번개 모임을 자유롭게 개최할 수 있습니다.

❤ 전 기수 활동내용
-단체 MT🎉
-익스트림 데이🤸‍♂️
-놀이동산 탐방🎢
-벚꽃 피크닉🌸
-체육대회⚽️🏀🥎
-글램핑🏕️
-국내여행🎆"
아망,음악,"보컬, 기타, 베이스, 드럼, 피아노","정보통신대학 자유음악동아리 ⭐️AMANG⭐️에서 33.5기 부원을 모집합니다❗️❗️
❕가요, 팝, 발라드, 락까지 원하는 음악을 자유롭게 할 수 있는 동아리
❕당신의 대학생활 로망을 이뤄줄 동아리

🤷🏻 “난 이런 노래들을 하고 싶은데 인기 없어서 못하지 않을까? ㅜㅜ”
🤷🏻 “공연 동아리는 힘들다던데... 공연 때문에 부담스럽고 힘들지 않을까?”
🤦🏻 “난 이것저것 다 해보고 싶은데 그러진 못하겠지?”
🤦🏻 “난 초보자라서 분명 지원해도 떨어질거야…”

댓츠 노노!! 🙅🏻‍♀️🙅🏻‍♂️❌
동아리원과 편하게, 원하는 음악을 마음껏 부담없이 하실 수 있습니다!
세션장과의 TR을 통해 배우고 싶은 악기를 배울 수도 있고,
내 세션이 아니라도 첫학기 이후 여러 세션으로도 공연할 수 있습니다!
정통대 동아리지만 타과학생도 많이 소속되어있고, 열정 점수로 초보자들도 환영하니 모두 주저말고 지원해 주세요🙌!!

✅신입생 ✅재학생 ✅복학생 모두 환영입니다😘"
Makers,제작,"음반, 뮤비, 제작, 디자인, 콘텐츠","◼ 활동내용 및 계획
Makers는 뮤직비즈니스 산업과 엔터테인먼트 산업에 관심 있는 대학생들이 모여 음반 제작 및 발매에 도전하고 콘텐츠 제작을 하는 동아리입니다.

🎧 1,2,3기 활동 보러가기 🎧
➡️https://www.youtube.com/@makers6877

◼ 지원 자격
1. 정해진 팀별 회의 및 전체 회의 시간에 책임감을 가지고 참여할 수 있는 대학생
-요일, 시간 및 회의 횟수는 진행 과정에 따라 모든 팀원들과 상의한 후 결정됩니다.
2. 음반 제작 과정에 진지하게 임할 마인드를 가진 대학생
3. 엔터테인먼트 산업 분야에 종사를 희망하고 있는 대학생 (필수 X)"
제니스,스포츠,"야구, 친목","⚾️ 문과대 야구소모임 제니스에서 같이 야구를 할 학우분들을 모집합니다!!⚾️
문과대 야구소모임 제니스에서 같이 야구를 할 학우분들을 모집합니다!!

✨혹시 야구를 즐기고 싶어? 그럼 제니스로 와~!!
우리와 함께 야구를 즐기자! ◌ ｡˚✩( › ̫ ‹ )✩˚ ｡◌

✨제니스는 이런 사람을 원합니다.
야구를 좋아하는 당신!
야구를 해보고 싶은 당신!
야구를 배우고 싶은 당신!
즐겁게 대학생활을 하고 싶은 당신!
모두모두 환영합니다!! *.☆⸜(⑉˙ᗜ˙⑉)⸝♡.*

✨제니스의 정기 연습시간은?
매주 월요일 오후 1시부터 5시까지, 총 4시간 동안!
인문사회과학(명륜)캠퍼스 운동장에서!"
청금,스포츠,"국궁, 교양","성균관대 중앙동아리 국궁부 청금에서 13기 신입부원을 모집합니다 :)

2017년 유학대학 박상환 교수님을 필두로 창립된 청금은 교내 유일의 국궁 동아리입니다.현재는 유학대학 백영선 교수님의 지도 하에 있으며, 활을 쏘는 기술과 함께 국궁 예절 교육, 국궁 사법 연구 등의 국궁 교양을 갖출 수 있습니다."
반촌,종교,"천주교, 소풍","❤🙏성균관대학교 천주교 중앙동아리 반촌에서 새 식구를 모집합니다!🙏❤

👼Gloria in excelsis Deo, et in terra pax hominibus!👼

성균관대학교 천주교 중앙동아리(가톨릭학생회) 반촌은 1958년 창립된 유서 깊은 동아리로서, 지금까지 캠퍼스에서 신앙의 여정을 걸어가고 있습니다. 현재 명륜과 율전 모두에서 운영되고 있습니다!

저희는 일주일에 한번 학생회관 동아리 방에 모여 주모임을 갖고 있습니다. 주모임에는 지도 신부님과 수녀님이 함께 참여하십니다. 또한 서울가톨릭대학생연합회 소속으로 서울 소재 대학 가톨릭학생회 회원들과 교류 중입니다.

세례여부, 학번 관계없이 가톨릭에 관심 있는 누구나 환영합니다!

💒주모임 활동 내용
주모임 시간엔 그 주의 복음말씀에 관한 생각을 나누고, 부원들과 서로의 신앙생활과 일상생활에 대해 이야기를 공유합니다. 한 주 동안의 자신의 모습을 돌아보고, 신부님과 수녀님으로부터 신앙생활에 대한 지도를 받을 수 있는 유익한 시간입니다!
이 외에
- 타 대학 사람들과 함께하는 연합주모임
- 대림환, 대림초, 동방 꾸미기
등의 활동도 때에 따라 진행하고 있습니다!

💒개강미사/종강미사
개강, 종강을 기념하면서 명륜, 율전 캠퍼스 학생들이 모여 미사를 드립니다!

💒서울 가톨릭 대학생 연합회
홍대에 위치한 청년 가톨릭 회관에서 서울 소재 가톨릭 대학생 연합회 일원들과 함께하는 행사 및 미사에 참여합니다!

💒도보순례, 소풍 등"
CoMit,학술,"코딩, 스터디, 세미나","중앙코딩동아리 COMIT 2023-2 신입부원 모집(상시)
CoMit은 모든 학생들이 다양한 사람들과 교류하고 협력하며 즐겁게 코딩을 할 수 있는 환경을 만들기 위해 노력하는 성균관대학교 중앙 코딩 동아리입니다.
2023년 올해 중앙동아리로 승격된 이후, 명품 스터디학회에도 곧바로 선정되는 등 빠르게 성장하고 있습니다.

✅<지원자격>
성균관대학교 율전&명륜 캠퍼스 학생 누구나 (휴학생 포함)

✅<주요활동>
스터디활동 : Python, C, Java 등의 프로그래밍 언어 학습부터 알고리즘, 웹 개발에 이르기까지 다양한 주제의 스터디에 참여하거나 개설할 수 있습니다. 기본적인 스터디들은 개설되었고 현재 스터디원을 모집하는 중입니다. 새로운 스터디 개설 및 활동을 원하시는 경우 스터디원을 4인 이상 모집하신 후 임원진에게 문의 부탁드립니다.

현재 2학기에 개설된 스터디클럽은 CoMit 홈페이지에서 확인하실 수 있습니다.

1. 네트워킹 기회

동아리 내부 네트워킹 뿐만 아닌, 타 코딩동아리&학회들과 외부 네트워킹도 진행하고 있습니다. 학우들의 웹개발, 졸업작품 등을 도와주며 네트워킹을 진행하고 있으며, 앞으로도 다양한 단체와 협업할 예정입니다.
이를 통해 단순 개발 실력뿐만 아니라 협업에 관련된 실무적인 능력도 쌓을 수 있게 할 예정입니다.

2. 세미나

외부 인사나 동아리 출신 선배를 통해 강연이 진행됩니다.

3. 경력 성장

동아리 공유 Inflearn, Udemy 계정을 사용하여 해당 계정에 귀속된 강의를 마음껏 들을 수 있습니다. 또한, 듣고 싶은 강의가 있을 시 임원진에게 요청하시면, 임원진들의 회의 후 추가 또한 가능합니다."
기상천외,제작,"발명, 친목, 스터디","성균관대 중앙발명동아리 기상천외에서 23-2 신입부원을 모집합니다!

“당신의 기상천외한 상상은 현실이 된다”
안녕하세요. 중앙발명동아리 기상천외입니다.

기상천외는 1997년에 설립되어 명맥을 이어오고 있으며 자연과학캠퍼스에 동아리방을 둔 성균관대학교 유일 발명동아리입니다.

기상천외에서 2023년도 2학기 신입부원을 모집합니다. 많은 관심과 지원 부탁드립니다.

[2022년 활동 내용]
2022 스마트카 융합설계 경진대회 – 대상
숭신여고 창의력 과학캠프
각종 스터디 – 동역학, C언어 등

[2023년 1학기 활동 내용]
아이디어 활동(오늘은 발명왕) – 정해진 주제에 대한 발명품과 해결방안 등에 대해 자유롭게 토론합니다.
인벤터 스터디 – 인벤터 프로그램을 사용하여 3d 프린팅에 대한 접근성을 높입니다.
숭신여고 창의력 과학캠프 – 고등학교에 방문하여 발명을 주제로 수업을 진행합니다.
자율주행 SW경진대회 – 동상

[2023년 2학기 활동 계획]
오늘은 발명왕 – 미리 공지된 주제에 대한 의견제시 및 피드백
각종 스터디 – 아두이노, autoCad
친목활동 – 바다거북스프게임, 보드게임
팀별 발명/제작 프로젝트 – 스터디 내용을 바탕으로 팀을 구성하여 문제를 해결하는 데에 도움을 주는 발명품 제작, 스터디와 별개로 자율적으로 팀을 구성하여 평소 만들어보고 싶었던 발명품 제작"
IF,제작,"영화, 영상, 촬영, 연기, 연출","안녕하세요, 영화 제작 동아리 이프!
Imagine Film입니다 :)

저희는 영화에 애정을 가진 사람들이 모여 직접 영화 및 영상을 제작하는 동아리입니다.

🤷 IF는 주로 어떤 활동을 하나요? 🤷‍

ㅡ 회의를 통해 영상을 촬영 및 제작하고 편집하여 영상이 완성되면 상영회를 합니다! 🍿 동아리 회원들과 영상 제작 관련 스터디를 하고 활동하며 영화 제작에 대해 배우고 경험할 수 있습니다. 😊

ㅡ 동아리 내에서 공모를 통해 시나리오를 선정하여 단편 영화를 제작합니다. (보통 방학기간에 촬영) 다 함께 힘을 모아모아 의논하여 함께 만들고 싶었던, 상상해왔던 영화를 제작해 보아요! 👍"
장산곶매,음악,"밴드, 보컬, 기타, 베이스, 키보드","안녕하세요~🦅 성균관대 어쿠스틱 밴드 동아리 장산곶매에서 2023년도 2학기부터 저희와 함께 즐거운 동아리 활동을 할 28기 신입 부원을 모집하고 있습니다👏👏

<모집대상>
🙋‍♀️음악에 관심이 있는 사람이면 누구나!
🙋공연을 하고 싶은 사람이면 누구나!
🙋‍♂️악기를 배우고 싶은 사람이면 누구나!

<모집세션>
보컬, 기타(베이스 포함), 키보드, 카혼
중복 지원도 가능합니다~

<활동계획>
✔️격주 정기 모임(월요일 예정)
✔️버스킹
✔️정기공연
✔️엠티
✔️친목 도모"
더숲,봉사,"봉사, 친목, 번개","성균관대X수원여대 연합 봉사 동아리 🌲더 숲🌲에서 2023 2학기 신입회원을 모집합니다!❤️

🍀모집대상
성균관대학교(자연과학캠퍼스), 수원여자대학교 재학생 누구나! (휴학생 가능)

🌿활동내용
- 민주시민교육원 주최 봉사, 굿네이버스 주최 봉사, 농촌 일손 돕기, 한강 줍깅 환경정화 활동, 교육 봉사 등 다양한 봉사활동
- 개강/종강총회, MT, 번개모임 등 다채로운 정모활동

🌴활동일정
< 9월 봉사 일정 >
• 9월 22일 (금요일) 안양시음식문화축제 행사지원 봉사
• 9월 23일 (토요일) 경기상상캠퍼스 축제 '포레포레' 행사보조 봉사"
피크닉,음악,"밴드, 보컬, 기타, 베이스, 드럼, 키보드","“한 번 피크닉은 영원한 피크닉”

안녕하세요, 성균관대학교 유학대학/인문과학계열 밴드 소모임 PeakNic 입니다! 올해 피크닉 15.5기를 모집합니다🥳

🎶 소개 🎶
유학대학/인문과학계열 밴드 소모임 PeakNic은 ‘정점’이라는 뜻의 ‘Peak’와 ‘기교’라는 뜻의 ‘Technic’의 합성어입니다. 2009년 처음 결성되어 올해로 15년째를 맞는 피크닉은 매년 두 번의 정기 공연과 두 번의 방학 공연으로 유학대 뿐만이 아니라 성균관대에서 밴드 소모임으로서의 입지를 단단히 해가고 있습니다.

🎶 지원자격 🎶
✔️ 매주 월, 목요일 6시부터 8시까지 활동 가능 하신 분!!
✔️ 음악을 좋아하는 분!!
✔️ 대학에서 잊지 못할 추억을 쌓고 싶은 분!!

🎶 활동 요일, 장소 🎶
▪️매주 월요일, 목요일 18시에 유학대 단대방에서 활동합니다!"
알리,스포츠,"보드, 운동, 친목, 번개","안녕하세요 😄 성균관대학교 보드 동아리 Ollie입니다! 심심한 율전에서 대학 생활의 낭만을 챙기고 싶다? 친근한 술꾼 선배들을 만나고 싶다? 바로 2023학년도 알리 10.5기에 지원하세요!

🌟Q : 알리에서는 어떤 활동을 하나요??
⭐️A : 매주 월요일 오후 7시에 보드 정모를 계획하고 있으며, 번개 모임도 자주 모여 보드를 타며 놉니다. 또한 정모 후 뒷풀이나 술자리, MT 등도 있을 예정이니 많은 관심부탁드립니다!!

🌟Q: 주로 활동을 어디서 하나요?
⭐️A : 성균관대학교 자연과학캠퍼스의 공자로 혹은 족구장에서 주로 활동합니다!!

🌟Q : 알리에서는 어떤 보드를 타나요?
⭐️A : 주로 스케이트보드와 롱보드를 타지만 원하는 보드는 뭐든지 다 탈 수 있어요!!

🌟Q : 보드를 한 번도 타본 적 없는데 가입 할 수 있을까요?
⭐️A : 알리는 입문자부터 고수까지 모두 다 환영합니다!
실제로 동아리에 들어와서 보드를 처음 접한 부원들이 대다수입니다!! 정모 시간이나 보드 번개 모임 때
운영진 및 기존 부원분들이 친절하게 알려드리니 걱정말고 신청하기!!

🌟Q : 보드가 없는데 가입 할 수 있을까요?
⭐️A : 알리는 동방에 공용 보드가 많이 있어 개인 보드가 없어도 충분히 즐길 수 있습니다~!

🌟Q : 가입신청은 어떻게 하나요?
⭐️A : 아래 링크로 지원해주시면 됩니다!
https://forms.gle/4NPYRgKugSPqYLu97

🌟Q : 인사캠도 지원할 수 있나요?
⭐️A : 네 가능합니다! 다만 활동은 자과캠에서 하는 점만 알아주세요!

🛹알리는 전문적인 보드 크루가 아니라 가볍게 취미로 보드타고 선후배들과 술을 마시며 친목하는 낭만가득 동아리입니다!"
비즈니스 사운드,음악,"밴드, 기획, 보컬, 기타, 베이스, 키보드, 드럼","비즈니스 사운드(BiSa)는 대학생들이 자치적으로 운영하는 동아리이며 뮤직 비즈니스를 추구하는 단체로 다양한 학생들이 모여 음악 컨텐츠 제작, 공연 기획 등 음악과 관련된 다양한 프로젝트를 수행하고 있습니다. 음악을 사랑하는 분들이라면 누구나 지원하셔서 꿈을 펼칠 수 있는 기회를 만드시길 바랍니다.

+ 해당 동아리의 구성원은 모두 서울·인천·경기권 대학생이며, 대학생만으로 구성된 운영진에 의해 자치적으로 운영되고 있습니다. 타 영리/비영리 단체 혹은 정치·종교·시민단체와 전혀 관련이 없음을 알려드립니다.
(운영진은 회장, 부회장, 음악팀장, 기획팀장, 총무로 구성되어 있으며 동아리원은 음악팀/기획팀으로 나뉘어 활발한 활동을 진행하고 있습니다.)

주요 활동 일정
- 9/19(화) OT 및 22기 활동 시작
- 12월 초 연합공연 (중간 공연, 날짜 미정)
- 내년(24년) 2월 말 23기 정기공연 및 23기 활동 종료 (최종 공연, 날짜 미정)
- 이 외에도 컨텐츠 제작, 동아리 MT 등 각종 행사 진행 예정
(+ 3월 초 24기 활동 시작)"
터보,스포츠,"농구, 운동, 친목","터보는 가족같은 분위기의 농구 동아리입니다!
저희 동아리는 자유로운 분위기에서 농구를 좋아하는 사람들이 모여서 만들어진 동아리입니다
하지만 코로나 기간 동안 모집이 어려워 현재는 소수 정예로 활동 중입니다.
그래서 기존 사람들과 친해질 걱정 없이 쉽게 적응하고. 편하게 원하는 농구를 하실 수 있습니다~! 😲

🌟활동 내용
- 매주 화요일 5시 N센터 옆 야외 코트에서 농구 후 뒤풀이 🍻
- MT, 홈커밍 데이 등 다양한 이벤트
- 다양한 번개 모임 (롤, 농구관람 등)
- 수성관 대관으로 실내 코트 경기!

🌟모집 대상
-실력 상관없이 농구를 좋아하시는 분 !!
-신입생/재학생/복학생/편입생/대학원생
-과,성별,학번 무관~"
그린나래,만화,"그림, 만화, 친목, 일러스트, 웹툰","안녕하세요! 명륜캠퍼스 중앙 만화동아리 그린나래입니다.
지금 그린나래에서 신입 부원분들을 모집하고 있습니다!

✒️모집기간
● 상시모집
(기본적으로는 상시모집이지만, 개강 첫째 주 첫번째 총회 전까지 지원해주시면 그린나래의 한 학기 활동을 온전히 즐기실 수 있습니다! 그 후로도 계속 지원이 가능하니 언제든지 환영합니다!)

✒️지원자격
● 학번, 나이, 전공 불문 만화에 대한 애정과 다양한 취향을 존중하는 태도를 지니신 성균관대 재학생분이라면 누구나!

✒️활동 내용
● 회지 제작
- 그린나래에서는 매년 주제를 정하고 그에 맞게 만화, 소설등의 창작물을 창작하는 활동을 진행합니다. 완성된 창작물들은 한 권의 책으로 묶여 발간됩니다.

● 일러스트 소모임
- 매주마다 주제를 정하여 그림을 그리는 시간을 가지는 일러스트 소모임을 진행합니다. 매주 꾸준히 그림을 그리고 싶으신 분부터, 그림을 처음 시작해 배우고 싶으신 분까지 모두 환영합니다.

● 릴레이 웹툰 소모임
- 부담없이 웹툰을 그려봅시다! 딱 원하는 분량만 그리고 다음 사람에게 넘기면서 웹툰을 만들어 나갑니다.

● 만화 창작부
- 창작부에서는 스토리/작화를 나누어 전문적인 만화를 창작함을 목표로 합니다. 자신이 전문적인 만화를 창작해보고 싶었던 분들, 혹은 스토리/그림 둘 중 하나에 자신이 없어 만화 창작을 꺼렸던 분들을 환영합니다.

● 친목활동
- 신입생 환영회, 총회 후 열리는 뒤풀이, 방학에 진행되는 MT, 종강 후 그린나래 선배분들과 함께 식사를 하고 대화를 나누는 만인의 밤 등이 진행됩니다!
- 질병이나 재난 등의 상황에 따라 변동될 수 있습니다"
타임,학술,"영어, 스터디, 칼럼","안녕하세요! 성균관대학교 중앙영어학술동아리 타임입니다. 2023년 2학기를 맞이하여 신입부원을 모집합니다.

'The World We Read & Lead' 타임동아리는 세계적으로 유명한 주간지 ‘TIME’의 이름을 따서 만들어진 동아
리입니다. TIME 동아리에서 활동하시면서 영어실력과 시사교양 모두를 얻어가실 수 있습니다.
⭐️활동내용⭐️
-목요일 오후 6시 (TIME의 기사 하나를 선정하여 요약 및 자유 토론 진행)
-1차세션: 9/7일 목 18:00~
-타 대학(고대, 한양대, 건대, 외대...)과 진행하는 교환칼럼
:1학기 때는 한양대와 교환칼럼을 진행하였습니다!
-타임의 유구한 역사의 현장, 창립기념제(선배와의 만남)
-소규모 모임/스터디 모임을 통한 친목활동 (방학 생활스터디, 소규모 TIME 스터디, 떡볶이 모임)=>회비를 일정 지원해드립니다!
칼럼 관련 안내
-정기 칼럼 발표 언어는 자유입니다. (한국어로 진행하셔도 무방하지만 저번 학기에는 영어 발제로 70% 진행되었습니다.)
-영어실력은 정말 중요하지 않습니다.
칼럼에서 중요한 것은 영어 해석이 아닌 부원들과의 자유로운 토론 과정에 있습니다.
-처음 들어오시는 신입부원은 칼럼의 순서를 후순위로 조정하여 거의 부담없이 진행하실 수 있으십니다.
-칼럼 전과 평상시 모두 기존부원들이 적극적으로 도와드리고 있으니 칼럼 진행은 전혀 걱정 안하셔도 됩니다!"
성균보험학술회,학술,"보험, 계리사","성균보험학술회에서 3기 학회원을 모집합니다.
재학생, 휴학생, 졸업생 상관없이 성균관대 학생이면 모두 활동가능하니, 보험 및 계리에 관심있는 학우분들의 지원을 기다립니다.

참고로 3기 활동 시작은 2학기(9월)부터 이니 착오 없으시길 바랍니다.

■ 명칭 : 성균보험학술회 SNA (Sungkyunkwan iNsurance Academy)

■ 지도교수님 : 성균관대 보험계리대학원 이항석 교수님

■ 후원 : DB 김준기문화재단 / 명품스터디클럽으로서 학교의 지원 받음

■ 활동 장소 : 명륜캠퍼스

■ 활동 학기 : 2학기(1년제)

■ 활동 시간 : 매주 토요일 15:00~18:00

■ 활동 커리큘럼
- 보험 자유주제 발표
- 보험 논문 작성 및 각종 보험공모전 출품
- 현직자와의 만남
- 계리사 스터디 (자율운영)"
사람사랑,봉사,"봉사, 교육, 체험","사람사랑은 아동 시설에 방문해 매주 아이들을 돌보는 봉사 동아리입니다!
축구 등 체험 위주의 교육 봉사가 주된 활동이며, 이 외에도 아이들에게 유익하고 재밌는 프로그램을 기획하고 진행하고 있습니다!

다음은 봉사 활동에 대한 구체적인 안내입니다!

1. 수원 아름드리 지역아동센터 (활동 약 2시간)
시간: 평일 PM 5:00 ~ PM 7:00 중 희망하는 요일

활동 내용 : 이 봉사활동은 코로나 이전부터 계속 해왔습니다. 2023학년도 1학기에는 남자 학우들이 남자 아이들을 상대로 축구를 하는 등 자유로운 활동을 진행했습니다. 여자 학우들은 여자아이들과 놀이터를 가거나 센터의 미화 등을 위주로 활동을 진행하였습니다. 2학기에도 동일하게 진행될 예정입니다!

2. 수원시 다함께 돌봄센터 15호점 (활동 약 3시간)
시간: PM 4:00~ PM 7:00 중 희망하는 요일
활동 내용 : 2023학년도 1학기에 처음 실행하게 된 봉사활동입니다. 1학기에는 보드게임, 그림그리기, 간식만들기 등을 위주로 진행을 하였습니다. 2학기에는 1학기에 한 것들 뿐만 아니라 하고 싶은 프로그램을 지원한 분들의 의견을 받아 구상해서 진행할 예정입니다.

이러한 정규 활동 외에도 🎉신복환영회🎉(신입생&복학생 환영회), 매년 여름방학마다 직접 컨택하여 일주일 간 진행하는 🌾농촌봉사활동🌾, 학기별로 진행하는 🎊엠티🎊, ⚽️체육대회⚽️, 🥳동아리 창립기념제(89학번부터 23학번까지 모이는 모임)🥳까지 다양한 행사들도 있어 즐거운 추억과 경험을 많이 쌓을 수 있습니다!

-봉사 시간과 활동 내용은 코로나 이전 상황을 참고한 것으로, 이후 변경될 수 있습니다!-

<현재 상황>
현재 1학기와 동일하게 아름드리 지역아동센터와 다함께 돌봄센터에서 봉사활동을 진행할 예정입니다. 원래 동아리에서 꾸준히 활동을 진행해온 안양의 집이라는 봉사활동은 1학기에는 하지 못했지만 할 수 있도록 연락드려볼 예정입니다. 이번학기에도 재미있는 활동 및 모임을 할 예정이니 많은 참여 부탁드립니다."
LAMO,봉사,"봉사, 교육, 친목, 수도권","봉사연합동아리 LAMO에서 새로운 부원을 모집합니다
💙 모집대상
: 한 학기 이상 동아리 활동이 가능한 수도권 대학생
교육 봉사가 주 활동이라 관련 경험 있으신 분들 환영합니다! 물론 경험 없으셔도 많은 지원 부탁드려요:)

💙 동아리 활동 내용
☝️봉사활동(중요!)
기관에 연계해서 1대1로 멘토-멘티가 배정되면 목/금 중 저녁 6시~8시에 교육봉사를 진행합니다. (대면 원칙)
교육 봉사시간 인정됩니다.
시험 기간에는 날짜 투표 후 1주 정도 쉬어갈 수 있습니다.

* 출석 부분
무단 지각 및 결석 시 탈퇴 처리됩니다.
불가피한 사정으로 참여가 어려운 날짜에는 최소 사흘 전에 담당 임원진에게 연락 부탁드립니다.

✌️정기 모임
한 달에 1~2회. 주말 혹은 공휴일에 정기모임이 있습니다.
한 학기 당 3회 이상 참석해주세요! 멘토들 간 단합이 목적이며, 이 시간에는 멘토들 간 서로 학습지도 방식을 공유할 수 있는 기회입니다.😉

보드게임 카페, 전시회, 영화관, 유기견 봉사, 카페, 롯데월드, VR카페, 볼링, 실내서바이벌, 혜화 연극, 목동 아이스링크/롤러장, 농촌봉사, 재능기부 봉사 등 다양한 활동을 생각 중이며, 이외에도 다른 좋은 아이디어가 있으면 언제든 건의해주세요:)

정기모임에서 발생한 돈은 1/n할 예정입니다.

[2022년 멘토링 활동 기관]
- 신림 종합사회복지관
- 판교 종합사회복지관
- 은행동 청소년문화의집
- 한양 공업고등학교
- 방배 종합사회복지관
- 도봉 씨앗지역아동센터
- 월곡 종합사회복지관
이외에 여러 복지관 및 지원센터와 연계하였습니다."
우리는 기타줄을 찢어!!,음악,"기타, 친목, 수도권","안녕하세요! 기타동아리인 ""우리는 기타줄을 찢어!!💥"" 에서 서울, 경기지역을 대학생들 대상으로 멤버를 모집합니다.
신생 연합 동아리이고, 본 동아리는 정치 및 종교, 시민 단체와 무관합니다.

🐾 모집대상
- 서울, 경기지역 대•휴학생 및 졸업생 누구나
- 기타를 잘 못쳐도 기타와 모임에 열린 마음이신 분
- 2학기 이상 꾸준한 참여가 가능하신 분
- 기타를 처음 쳐봐도 함께 연습하며 탄탄하게 기타를 배워가실 분

🐾 활동내용
- 기본 활동 루틴: 코드 연습 후 완곡 연습
1주차: 기본코드 연습(가장 기초)
2주차: 연습한 기본코드로 기초곡 완곡
3주차: 난이도 up 코드 연습
4주차: 기초코드+추가되는 코드가 섞인 곡 완주
•
•
- 코드가 익숙해진 후에는 개인이 원하는 곡 선정하여 마스터!
- 그 외 더 즐거운 활동을 위해 동아리내 친목활동(번개만남 등)도 있을 예정입니다!"
못갖춘마디,음악,"기타, 통기타, 보컬, 드럼, 베이스, 키보드","중앙 통기타 동아리 못갖춘마디에서 30기 신입 부원을 모집합니다 🤩

✨ 모집 대상
통기타와 음악을 사랑하는 누구나! 악기 초보자들도 환영합니다 😎
❗️못갖춘마디는 오디션 없이 자유롭게 들어올 수 있습니다.

✨ 활동 세션
- 통기타
- 보컬
- 키보드
- 베이스
- 드럼

✨ 활동 소개
- 가을 정기공연
- 학교 축제 공연 참가
- 부담없이 즐기는 소규모 공연인 '워크샵'
- 악기 초보자들을 위한 통기타/베이스/드럼 '학습부'
- MT, 롤, 볼링, 풋살, 번개 모임 등 다양한 친목 활동"
SOPT,창업,"창업, 벤처, IT, 웹, 앱, 수도권","[DO SOPT] 대학생 연합 IT 벤처창업 동아리 SOPT에서 33기 신입회원을 모집합니다.

집요함을 가지고 좋아하는 일에 몰입할 수 있는 사람
생각을 행동으로 연결하는 실천의 태도를 가진 사람
자신이 배운점을 서슴없이 나누고 소통하는 공유의 자세를 가진 사람
33기 DO SOPT가 함께 나아가고 싶은 사람입니다.

많은 관심 부탁드리며, 아래의 세부 내용 참고하셔서 지원에 차질 없으시길 바랍니다.

• 모집대상: IT 창업 및 웹/앱 서비스에 관심이 많고 수도권 내에서 활동이 가능한 열정적인 대학생
• 모집부문: 기획 / 디자인 / 안드로이드 / iOS / 웹 / 서버"
